"Date: 2026-07-22+0000"
"Version: 7.2"
"Status: 
0 Normal
"","Portfolio","Light mode [Portfolio.md](obsidian://open?vault=Whendeez&file=Portfolio.md)","TEXT","","","N","","","","","0","0","2025-11-01T14:12:55+0000","","-1099511627776","America/New_York","false","false","Not Sectioned","0","kanban","28","","TASK"
"","Portfolio","Spanish-English Translation [Portfolio.md](obsidian://open?vault=Whendeez&file=Portfolio.md)","TEXT","","","N","","","","","0","0","2025-11-01T14:13:06+0000","","-549755813888","America/New_York","false","false","Not Sectioned","0","kanban","29","","TASK"
"","Cocktail Website","Add tailwind","TEXT","","","N","","","","","5","2","2025-09-06T13:08:45+0000","2025-10-21T22:10:59+0000","-6047313952768","America/New_York","false","false","Cocktail website","2199023255552","kanban","30","","TASK"
"","Cocktail Website","Limit queries and make a guest account ","TEXT","","","N","","","","","0","2","2025-09-06T13:09:04+0000","2025-10-21T22:11:13+0000","-5497558138880","America/New_York","false","false","Cocktail website","2199023255552","kanban","31","","TASK"
"","Cocktail Website","Change inventory to one with a enter and remove feature","TEXT","","You imagined two buttons. One as a keyboard to toggle the input barA trash can to remove items from the list","N","","","","","5","2","2025-11-12T15:52:00+0000","2025-12-17T20:40:22+0000","-4947802324992","America/New_York","false","false","Drink","549755813888","kanban","32","","TASK"
"","Cocktail Website","Add the ability to add to your drink inventory ","TEXT","","","N","2025-11-08T18:00:00+0000","2025-11-08T18:00:00+0000","PT0S","","5","2","2025-11-01T13:57:35+0000","2025-11-10T18:59:26+0000","-4947802324992","America/New_York","false","false","Cocktail website","2199023255552","kanban","33","","TASK"
"","Cocktail Website","Investigate why the select disappears when an option is chosen ","TEXT","","","N","","","","","1","2","2025-11-01T14:06:08+0000","2025-12-10T21:44:17+0000","-4398046511104","America/New_York","false","false","Bug Fixes","0","kanban","34","","TASK"
"","Cocktail Website","Add some interact-able highlights (like a pipup bar showing that something was added to favorites) [Cocktail Website.md](obsidian://open?vault=Whendeez&file=Cocktail%20Website.md)","TEXT","","","N","","","","","0","0","2025-11-01T14:03:30+0000","","-3848290697216","America/New_York","false","false","Ideas","1649267441664","kanban","35","","TASK"
"","Cocktail Website","Add light/dark mode [Cocktail Website.md](obsidian://open?vault=Whendeez&file=Cocktail%20Website.md)","TEXT","","","N","","","","","0","0","2025-11-01T14:01:14+0000","","-3298534883328","America/New_York","false","false","Ideas","1649267441664","kanban","36","","TASK"
"","Cocktail Website","Make profile to update sections of the site (I.e. name or delete inventory etc, allergies)","CHECKLIST","","▪Username▪Favorites▪Inventory▪Allergies","Y","","","","","5","2","2025-11-01T13:58:36+0000","2026-02-12T16:24:19+0000","-2748779069440","America/New_York","false","false","Ideas","1649267441664","kanban","37","","TASK"
"","Cocktail Website","Make functional food portion ","TEXT","","","N","","","","","3","2","2025-11-01T13:58:05+0000","2026-02-12T16:24:13+0000","-2199023255552","America/New_York","false","false","Recipe","1099511627776","kanban","38","","TASK"
"","Cocktail Website","Change colors and fonts of site ","TEXT","","","N","","","","","1","2","2025-11-01T13:57:54+0000","2025-12-10T21:44:49+0000","-1649267441664","America/New_York","false","false","Bug Fixes","0","kanban","39","","TASK"
"","Cocktail Website","Fix guest incrementing when clicking home page ","TEXT","","","N","","","","","1","2","2025-11-01T13:53:22+0000","2025-12-17T20:40:12+0000","-1099511627776","America/New_York","false","false","Bug Fixes","0","kanban","40","","TASK"
"","Cocktail Website","Query Limiter ","TEXT","","","N","","","","","3","2","2025-11-01T14:10:09+0000","2025-12-10T21:08:57+0000","-549755813888","America/New_York","false","false","Recipe","1099511627776","kanban","41","","TASK"
"","CSTeam","Talk about our B Setups on Overpass","TEXT","","","N","","","","","0","2","2025-11-19T21:44:59+0000","2025-11-20T03:41:01+0000","-6047313952768","America/New_York","false","false","Games","4398046511104","kanban","42","68","TASK"
"","CSTeam","Talk overpass and exec out of bathrooms ","TEXT","","","N","","","","","0","2","2025-11-19T21:26:55+0000","2025-11-20T03:41:01+0000","-5497558138880","America/New_York","false","false","Games","4398046511104","kanban","43","68","TASK"
"","CSTeam","Talk about mirage and a B Exec","TEXT","","","N","","","","","0","2","2025-11-19T21:26:08+0000","2025-11-20T03:41:01+0000","-4947802324992","America/New_York","false","false","Games","4398046511104","kanban","44","68","TASK"
"","CSTeam","Add T Defaults","TEXT","","","N","","","","","3","2","2025-09-10T11:22:17+0000","2025-11-01T14:14:22+0000","-4398046511104","America/New_York","false","false","Mirage","1649267441664","kanban","45","","TASK"
"","CSTeam","Add T Defaults","TEXT","","","N","","","","","3","2","2025-09-10T11:22:10+0000","2025-11-01T14:14:24+0000","-3848290697216","America/New_York","false","false","Ancient","2199023255552","kanban","46","","TASK"
"","CSTeam","Add more functionality to bases","CHECKLIST","","▫Add ability to handle list of properties in yaml and in db▫Add Filter, can lookup based on available properties▫Sort based on available properties ▫Add different view parsing capability ","Y","","","","","1","2","2025-12-27T11:22:08+0000","2026-01-16T19:20:28+0000","-3298534883328","America/New_York","false","false","website","549755813888","kanban","47","","TASK"
"","CSTeam","A Exec","TEXT","","","N","","","","","1","2","2025-09-06T12:22:28+0000","2025-11-11T23:34:16+0000","-3298534883328","America/New_York","false","false","Overpass","3298534883328","kanban","48","","TASK"
"","CSTeam","A Exec from Bath","TEXT","","","N","","","","","0","2","2025-11-19T15:51:59+0000","2026-01-16T19:20:46+0000","-2748779069440","America/New_York","false","false","Overpass","3298534883328","kanban","49","","TASK"
"","CSTeam","A Exec","TEXT","","","N","","","","","0","2","2025-09-06T12:18:43+0000","2025-11-11T23:34:11+0000","-2748779069440","America/New_York","false","false","Ancient","2199023255552","kanban","50","","TASK"
"","CSTeam","Migrate to new Perlite version [CSTeam.md](obsidian://open?vault=Whendeez&file=CSTeam.md)","TEXT","ticktick","","N","","","","","0","2","2026-05-19T20:50:12+0000","2026-07-08T14:44:57+0000","-2199023255552","America/New_York","false","false","website","549755813888","kanban","51","","TASK"
"","CSTeam","B Exec","TEXT","","","N","","","","","0","2","2025-09-06T12:20:33+0000","2025-11-11T23:34:10+0000","-2199023255552","America/New_York","false","false","Ancient","2199023255552","kanban","52","","TASK"
"","CSTeam","B Exec","TEXT","","","N","","","","","0","2","2025-09-06T12:18:36+0000","2026-02-12T16:24:25+0000","-2199023255552","America/New_York","false","false","Overpass","3298534883328","kanban","53","","TASK"
"","CSTeam","Handle Bases","CHECKLIST","","▫Allow switching between views that are already saved▪Set up SQL server with notes and then sync notes to them ▪Make bases show up on website▪Have the headers show up like they do in obsidian▪Parse views to load notes from database ▪Populate the page with the first ""view"" of the specific base▪Make images work and card/table view ▪Rework the rust SQLite parser so that it works. Must clear notes then add in all the notes ▪Add purple hover (or whatever the highlight is) to the bases▪Update results to sync with the number of notes to output ","Y","","","","","1","2","2025-09-06T12:12:42+0000","2025-12-27T10:56:32+0000","-1099511627776","America/New_York","false","false","website","549755813888","kanban","54","","TASK"
"","CSTeam","Add TickTick integration [CSTeam.md](obsidian://open?vault=Whendeez&file=CSTeam.md)","TEXT","Feature, ticktick","","N","","","","","0","2","2026-05-19T20:49:43+0000","2026-07-13T16:12:42+0000","0","America/New_York","true","false","website","549755813888","kanban","55","","TASK"
"","CSTeam","Reorganize Vault [CSTeam.md](obsidian://open?vault=Whendeez&file=CSTeam.md)","CHECKLIST","ticktick","▫Clear any unused nades▫Change nades from html to native md▫Add a tested yaml tag▫%%6a0c7bbe303791152989a99e%%","Y","2026-06-25T20:30:00+0000","2026-06-25T20:30:00+0000","PT0S","","0","2","2026-05-19T15:02:09+0000","2026-07-13T17:17:42+0000","0","America/New_York","false","false","Teamstuff","1099511627776","kanban","56","","TASK"
"","CSTeam","Add collaboration for excalidraw [CSTeam.md](obsidian://open?vault=Whendeez&file=CSTeam.md)","CHECKLIST","Feature, ticktick","▫Clone excalidraw▫Update endpoints▫Get working locally▫Move to Apache","Y","","","","","0","0","2025-09-06T12:12:13+0000","","0","America/New_York","true","false","website","549755813888","kanban","57","","TASK"
"","CSTeam","Reorganize Vault","CHECKLIST","","▫Clear any unused nades▫Change nades from html to native md ▫Add a tested yaml tag▫","Y","2026-06-12T20:30:00+0000","2026-06-12T20:30:00+0000","PT0S","","0","2","2026-05-19T15:02:09+0000","2026-06-22T13:38:33+0000","1","America/New_York","false","false","Teamstuff","1099511627776","kanban","58","","TASK"
"","CSTeam","Reorganize Vault","CHECKLIST","","▫Clear any unused nades▫Change nades from html to native md ▫Add a tested yaml tag▫","Y","2026-06-05T20:30:00+0000","2026-06-05T20:30:00+0000","PT0S","","0","2","2026-05-19T15:02:09+0000","2026-06-10T23:26:37+0000","1","America/New_York","false","false","Teamstuff","1099511627776","kanban","59","","TASK"
"","CSTeam","Reorganize Vault","CHECKLIST","","▫Clear any unused nades▫Change nades from html to native md ▫Add a tested yaml tag▫","Y","2026-06-02T20:30:00+0000","2026-06-02T20:30:00+0000","PT0S","","0","2","2026-05-19T15:02:09+0000","2026-06-03T13:29:32+0000","1","America/New_York","false","false","Teamstuff","1099511627776","kanban","60","","TASK"
"","CSTeam","Reorganize Vault","CHECKLIST","","▫Clear any unused nades▫Change nades from html to native md ▫Add a tested yaml tag▫","Y","2026-05-25T20:30:00+0000","2026-05-25T20:30:00+0000","PT0S","","0","2","2026-05-19T15:02:09+0000","2026-05-29T22:39:41+0000","1","America/New_York","false","false","Teamstuff","1099511627776","kanban","61","","TASK"
"","CSTeam","Go over CT aggression ","TEXT","","","N","","","","","3","2","2025-09-06T12:21:37+0000","2025-11-11T23:34:44+0000","1","America/New_York","false","false","Teamstuff","1099511627776","kanban","62","","TASK"
"","CSTeam","B Exec","TEXT","","","N","","","","","0","2","2025-09-06T12:17:24+0000","2025-11-19T15:51:40+0000","1","America/New_York","false","false","Mirage","1649267441664","kanban","63","","TASK"
"","CSTeam","Team website","TEXT","","","N","","","","","0","2","2025-09-06T12:08:39+0000","2025-09-06T12:14:24+0000","1","America/New_York","false","false","website","549755813888","kanban","64","","TASK"
"","CSTeam","A Exec","TEXT","","","N","","","","","1","2","2025-09-06T12:21:51+0000","2025-11-11T23:34:14+0000","549755813888","America/New_York","false","false","Inferno","2748779069440","kanban","65","","TASK"
"","CSTeam","Mid Fight Practice","TEXT","","","N","","","","","0","2","2025-09-06T12:21:01+0000","2025-10-21T22:11:06+0000","549755813888","America/New_York","false","false","Mirage","1649267441664","kanban","66","","TASK"
"","CSTeam","Add openid authentication for wensite","TEXT","","","N","","","","","5","2","2025-09-06T12:10:39+0000","2026-01-01T05:29:10+0000","549755813888","America/New_York","false","false","website","549755813888","kanban","67","","TASK"
"","CSTeam","Gaming ","CHECKLIST","","▫","Y","2025-11-20T00:30:00+0000","2025-11-20T03:00:00+0000","PT0S","ERULE:NAME=CUSTOM;BYDATE=20251117,20251119","3","2","2025-11-12T16:20:41+0000","2025-11-20T03:41:01+0000","1099511627776","America/New_York","false","false","Games","4398046511104","kanban","68","","TASK"
"","CSTeam","Gaming ","CHECKLIST","","▫","Y","2025-11-18T02:30:00+0000","2025-11-18T03:30:00+0000","PT0S","","3","2","2025-11-12T16:20:41+0000","2025-11-18T03:37:00+0000","1649267441664","America/New_York","false","false","Games","4398046511104","kanban","69","","TASK"
"","CSTeam","Gaming ","CHECKLIST","","▫","Y","2025-11-13T02:30:00+0000","2025-11-13T03:30:00+0000","PT0S","","3","2","2025-11-12T16:20:41+0000","2025-11-13T04:50:25+0000","1649267441664","America/New_York","false","false","Games","4398046511104","kanban","70","","TASK"
"","💼Work","AWS Solutions Architect Associate","TEXT","","","N","","","","","0","0","2026-07-15T15:32:23+0000","","-2748779069440","America/New_York","false","false",,,"list","71","74","TASK"
"","💼Work","Get AWS Cloud Practitioner","TEXT","","","N","","","","","0","0","2026-07-15T15:31:49+0000","","-2199023255552","America/New_York","false","false",,,"list","72","74","TASK"
"","💼Work","Get CompTIA Security + Cert","TEXT","","","N","","","","","0","0","2026-07-15T15:31:34+0000","","-1649267441664","America/New_York","false","false",,,"list","73","74","TASK"
"","💼Work","Get one of the following certificates","TEXT","","All three can be done 100% online, including the exams themselves (remote proctoring). Realistic pace: Security+ in 6–8 weeks studying part-time, then each AWS cert in 4–6 weeks since they build on each other.Stage 2 (after you land a role or have more bandwidth):	•	AWS Developer Associate (natural next step after SAA)	•	Terraform Associate (high value if the job involves any IaC/DevOps)	•	CKAD (if you’re leaning toward roles with Kubernetes/container orchestration)	•	Oracle Java SE 21 (only if you’re targeting Java-heavy backend roles)	•	Andrew Ng’s ML Specialization on Coursera (if you want to lean into your ML exposure)Approach tip: Don’t study Security+ and an AWS cert simultaneously — the material doesn’t overlap much and split focus slows you down. Finish Security+, then chain the two AWS certs back to back since Cloud Practitioner content directly feeds into SAA.","N","2026-07-24T00:51:00+0000","2026-07-24T00:51:00+0000","PT0S","FREQ=WEEKLY;INTERVAL=1;BYDAY=TH","0","0","2026-07-15T15:31:16+0000","","-1099511627776","America/New_York","false","false",,,"list","74","","TASK"
"","💼Work","Submit Timesheet [💼Work.md](obsidian://open?vault=Whendeez&file=%F0%9F%92%BCWork.md)","TEXT","","","N","2026-07-25T13:00:00+0000","2026-07-25T13:00:00+0000","PT0S","FREQ=WEEKLY;WKST=SU;INTERVAL=2;BYDAY=SA","3","0","2025-09-06T12:34:11+0000","","-549755813888","America/New_York","false","false",,,"list","75","","TASK"
"","💼Work","Get AWS Certificate","TEXT","","","N","2025-11-22T20:00:00+0000","2025-11-22T20:00:00+0000","PT0S","","5","2","2025-09-08T12:54:10+0000","2025-11-23T17:13:27+0000","1","America/New_York","false","false",,,"list","76","","TASK"
"","💼Work","Get AWS Certificate","CHECKLIST","","▫","Y","2025-11-17T18:00:00+0000","2025-11-17T18:00:00+0000","PT0S","","5","2","2025-09-08T12:54:10+0000","2025-11-17T19:33:10+0000","1","America/New_York","false","false",,,"list","77","","TASK"
"","💼Work","Get AWS Certificate","CHECKLIST","","▫","Y","2025-11-10T05:00:00+0000","2025-11-10T05:00:00+0000","","","5","2","2025-09-08T12:54:10+0000","2025-11-11T23:36:14+0000","1","America/New_York","true","false",,,"list","78","","TASK"
"","💼Work","Get AWS Certificate","CHECKLIST","","▫","Y","2025-11-08T05:00:00+0000","2025-11-08T05:00:00+0000","","","5","2","2025-09-08T12:54:10+0000","2025-11-01T14:33:32+0000","1","America/New_York","true","false",,,"list","79","","TASK"
"","💼Work","Submit Timesheet [💼Work.md](obsidian://open?vault=Whendeez&file=%F0%9F%92%BCWork.md)","TEXT","","","N","2026-07-11T13:00:00+0000","2026-07-11T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-07-11T16:18:03+0000","1","America/New_York","false","false",,,"list","80","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-06-27T13:00:00+0000","2026-06-27T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-06-27T13:39:40+0000","1","America/New_York","false","false",,,"list","81","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-06-13T13:00:00+0000","2026-06-13T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-06-13T13:29:01+0000","1","America/New_York","false","false",,,"list","82","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-05-30T13:00:00+0000","2026-05-30T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-05-30T13:24:16+0000","1","America/New_York","false","false",,,"list","83","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-05-16T13:00:00+0000","2026-05-16T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-05-16T14:54:48+0000","1","America/New_York","false","false",,,"list","84","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-05-02T13:00:00+0000","2026-05-02T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-05-02T14:36:25+0000","1","America/New_York","false","false",,,"list","85","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-04-18T13:00:00+0000","2026-04-18T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-04-19T20:54:27+0000","1","America/New_York","false","false",,,"list","86","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-04-04T13:00:00+0000","2026-04-04T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-04-04T17:22:53+0000","1","America/New_York","false","false",,,"list","87","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-03-21T13:00:00+0000","2026-03-21T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-03-22T00:26:40+0000","1","America/New_York","false","false",,,"list","88","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-03-07T14:00:00+0000","2026-03-07T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-03-07T14:32:48+0000","1","America/New_York","false","false",,,"list","89","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-02-21T14:00:00+0000","2026-02-21T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-02-21T14:08:32+0000","1","America/New_York","false","false",,,"list","90","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-02-07T14:00:00+0000","2026-02-07T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-02-07T15:00:46+0000","1","America/New_York","false","false",,,"list","91","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-01-24T14:00:00+0000","2026-01-24T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-01-24T14:02:01+0000","1","America/New_York","false","false",,,"list","92","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2026-01-10T14:00:00+0000","2026-01-10T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2026-01-10T13:52:56+0000","1","America/New_York","false","false",,,"list","93","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-12-27T14:00:00+0000","2025-12-27T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-12-28T13:04:16+0000","1","America/New_York","false","false",,,"list","94","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-12-13T14:00:00+0000","2025-12-13T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-12-13T14:21:36+0000","1","America/New_York","false","false",,,"list","95","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-11-29T14:00:00+0000","2025-11-29T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-11-29T14:15:56+0000","1","America/New_York","false","false",,,"list","96","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-11-15T14:00:00+0000","2025-11-15T14:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-11-15T17:52:35+0000","1","America/New_York","false","false",,,"list","97","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-11-01T13:00:00+0000","2025-11-01T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-11-01T13:51:57+0000","1","America/New_York","false","false",,,"list","98","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-10-18T13:00:00+0000","2025-10-18T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-10-18T19:55:14+0000","1","America/New_York","false","false",,,"list","99","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-10-04T13:00:00+0000","2025-10-04T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-10-05T00:55:02+0000","1","America/New_York","false","false",,,"list","100","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-09-20T13:00:00+0000","2025-09-20T13:00:00+0000","PT0S","","3","2","2025-09-06T12:34:11+0000","2025-09-20T17:33:47+0000","1","America/New_York","false","false",,,"list","101","","TASK"
"","💼Work","Submit Timesheet","TEXT","","","N","2025-09-06T13:00:00+0000","2025-09-06T13:00:00+0000","PT0S","","5","2","2025-09-06T12:34:11+0000","2025-09-06T12:36:20+0000","1","America/New_York","false","false",,,"list","102","","TASK"
"","🏠Personal","buy brita filters","TEXT","","","N","","","","","0","2","2025-11-12T15:49:36+0000","2025-11-20T20:30:43+0000","-9345848836096","America/New_York","false","false","misc","1649267441664","list","103","","TASK"
"","🏠Personal","Empty drawers with unwanted clothes. Same with socks ","TEXT","","","N","","","","","0","2","2025-11-12T16:18:32+0000","2026-02-12T16:24:27+0000","-9070970929152","America/New_York","false","false","misc","1649267441664","list","104","","TASK"
